 475: 1.028788, 1.253139 avg loss, 0.000102 rate, 6.526658 seconds, 60800 images
 480: 1.210410, 1.248867 avg loss, 0.000106 rate, 6.863708 seconds, 61440 images
 481: 1.379048, 1.261885 avg loss, 0.000107 rate, 3.080154 seconds, 61568 images
 482: 1.587916, 1.294488 avg loss, 0.000108 rate, 2.991536 seconds, 61696 images
 483: 1.154390, 1.280478 avg loss, 0.000109 rate, 3.032728 seconds, 61824 images
 488: 1.383834, 1.290814 avg loss, 0.000113 rate, 3.252771 seconds, 62464 images
 489: 1.239839, 1.285716 avg loss, 0.000114 rate, 3.013098 seconds, 62592 images
 490: 1.226715, 1.279816 avg loss, 0.000115 rate, 3.066979 seconds, 62720 images
 491: 1.176433, 1.269478 avg loss, 0.000116 rate, 2.938608 seconds, 62848 images
 496: 1.175086, 1.260038 avg loss, 0.000121 rate, 3.225446 seconds, 63488 images
 497: 1.301596, 1.264194 avg loss, 0.000122 rate, 2.997747 seconds, 63616 images
 498: 1.193017, 1.257077 avg loss, 0.000123 rate, 2.934708 seconds, 63744 images
 499: 1.137286, 1.245098 avg loss, 0.000124 rate, 8.367699 seconds, 63872 images
 504: 1.223318, 1.242920 avg loss, 0.000129 rate, 8.537444 seconds, 64512 images
 505: 1.130049, 1.231633 avg loss, 0.000130 rate, 7.947853 seconds, 64640 images
 506: 1.299570, 1.238426 avg loss, 0.000131 rate, 8.162954 seconds, 64768 images
 507: 1.146991, 1.229283 avg loss, 0.000132 rate, 8.282012 seconds, 64896 images
 512: 1.214666, 1.227821 avg loss, 0.000137 rate, 8.527982 seconds, 65536 images
 513: 1.273617, 1.232401 avg loss, 0.000139 rate, 8.180849 seconds, 65664 images
 514: 1.178800, 1.227041 avg loss, 0.000140 rate, 8.238132 seconds, 65792 images
 515: 1.050088, 1.209345 avg loss, 0.000141 rate, 8.064846 seconds, 65920 images
 520: 1.256101, 1.214021 avg loss, 0.000146 rate, 8.625676 seconds, 66560 images
 521: 1.094698, 1.202089 avg loss, 0.000147 rate, 3.359156 seconds, 66688 images
 522: 0.993590, 1.181239 avg loss, 0.000148 rate, 3.290316 seconds, 66816 images
 523: 1.109993, 1.174114 avg loss, 0.000150 rate, 3.352535 seconds, 66944 images
 528: 1.107721, 1.167475 avg loss, 0.000155 rate, 3.632521 seconds, 67584 images
 529: 1.169951, 1.167723 avg loss, 0.000157 rate, 3.178393 seconds, 67712 images
 530: 1.259174, 1.176868 avg loss, 0.000158 rate, 3.388535 seconds, 67840 images
 531: 1.053348, 1.164516 avg loss, 0.000159 rate, 3.358081 seconds, 67968 images
